Country Code,Country Name,Year,GDP Growth,Investment,Education Expenditure,Productivity Growth
MLT,Malta,2017,12.9713425287845,19.1594164288903,4.34281015396118,-1.04
MDA,Moldova,2000,2.10771608200733,23.9469590858874,4.48639011383057,0.76
MDA,Moldova,2001,6.10000039929173,23.2823598271446,4.84684991836548,7.23
MDA,Moldova,2002,7.79999965773833,21.6601824678981,5.4979100227356,7.44
MDA,Moldova,2003,6.59999995777716,23.1775987544806,5.42489004135132,18.23
MDA,Moldova,2004,7.39999973358189,26.3591502247752,6.77103996276855,10.66
MDA,Moldova,2005,7.5000001493726,30.8255630510995,7.16270017623901,7.26
MDA,Moldova,2006,4.79999983670831,32.7480806184922,7.49899005889893,9.97
MDA,Moldova,2007,3.00000022585525,38.1055549316863,8.29337024688721,3.83
MDA,Moldova,2008,7.80000014541523,39.227918692985,8.23727035522461,7.46
MDA,Moldova,2009,-6.00000026352828,23.1418973846398,9.5097599029541,-0.68
MDA,Moldova,2010,7.10000010705836,23.8517865932859,7.5922999382019,10.94
MDA,Moldova,2011,5.81816614684824,24.0486714251096,7.13638019561768,3.02
MDA,Moldova,2012,-0.589733954762579,24.1985192443336,6.9834098815918,1.75
MDA,Moldova,2013,9.0438656074181,24.9382002000225,5.90975516494477,6.63
MDA,Moldova,2014,4.99962585407656,23.7825706600568,6.33807992935181,3.94
MDA,Moldova,2015,-0.338235622387202,24.0620907895527,5.76665405944246,-1.91
MDA,Moldova,2016,4.64601436259409,21.9868853235417,5.67210006713867,3.04
MDA,Moldova,2017,4.17561205106279,21.9389542125047,5.71017980575562,5.73
MDA,Moldova,2018,4.07559546585034,26.5918106703471,5.53886985778809,-0.29
NLD,Netherlands,2000,4.21970034558892,22.4588724676077,4.58325004577637,2.32
NLD,Netherlands,2001,2.32358454925847,22.6044175168395,4.68933010101318,0.32
NLD,Netherlands,2002,0.24582951723049,20.9657566797441,4.78904008865356,-0.5
NLD,Netherlands,2003,0.0978549395212411,20.4311120001709,5.0199499130249,0.72
NLD,Netherlands,2004,2.01628331561487,20.2354145150337,5.0411901473999,3.15
NLD,Netherlands,2005,2.03401576512488,20.3913422355285,5.08871984481812,1.38
NLD,Netherlands,2006,3.53729585853395,20.9352721280667,5.01913976669312,1.26
NLD,Netherlands,2007,3.88542348324803,23.2286138653607,4.85854005813599,0.8
NLD,Netherlands,2008,2.11674514240192,22.2059299952863,4.99737977981567,0.53
NLD,Netherlands,2009,-3.66528147002826,20.5767305168581,5.38561010360718,-2.84
NLD,Netherlands,2010,1.31935287897116,20.0371060399178,5.45634984970093,2.04
NLD,Netherlands,2011,1.77330320575034,19.9116480923396,5.41595983505249,0.68
NLD,Netherlands,2012,-0.977826121310997,18.5826577863124,5.36694002151489,-0.83
NLD,Netherlands,2013,-0.0302410184270769,18.3607360340882,5.48417997360229,1.06
NLD,Netherlands,2014,1.61255885112396,17.7066341303839,5.40205001831055,1.52
NLD,Netherlands,2015,2.12064007193544,22.1699860549934,5.27802991867065,1.0
NLD,Netherlands,2016,2.42428065449427,19.7764432256049,5.38952016830444,1.08
NLD,Netherlands,2017,2.78150834679987,20.2151929584837,5.08747005462646,0.73
NLD,Netherlands,2018,2.25873158164956,20.4804432515785,5.26723003387451,0.07
MKD,North Macedonia,2002,1.49366547202928,20.8302234116196,3.30014991760254,-1.64
NOR,Norway,2000,3.443416131481,21.1263938589634,6.45935010910034,2.58
NOR,Norway,2001,2.1634350595868,19.8231380030983,6.82014989852905,1.72
NOR,Norway,2002,1.45747886087304,19.3942483081845,7.42243003845215,1.06
NOR,Norway,2003,1.09635781210122,18.5016607815225,7.39930009841919,2.13
NOR,Norway,2004,4.33015597691212,20.5503073798527,7.27745008468628,3.3
NOR,Norway,2005,2.96973597025936,21.3471923026697,6.84081983566284,1.32
NOR,Norway,2006,2.84726376691944,22.801746254571,6.35823011398315,-0.97
NOR,Norway,2007,3.42030119916608,25.9515026676628,6.50672006607056,-1.11
NOR,Norway,2008,0.822805797014865,25.0626873295723,6.2491397857666,-2.67
NOR,Norway,2009,-1.61327151945869,23.4094315363354,7.07068014144897,-1.27
NOR,Norway,2010,1.00493269017117,24.0082068030157,6.71042013168335,1.25
NOR,Norway,2011,1.38505117083945,24.4632060581118,6.4148998260498,-0.52
NOR,Norway,2012,2.82395673492459,24.8841937099589,7.32766008377075,0.64
NOR,Norway,2013,1.27290177696287,26.1789626307442,7.43905019760132,-0.05
NOR,Norway,2014,2.09521388080101,25.9804539858352,7.64402008056641,0.74
NOR,Norway,2015,2.04428845501438,25.5765362668571,7.52335977554321,1.56
NOR,Norway,2016,1.29158732771135,26.1648857958756,7.98443984985352,0.89
NOR,Norway,2017,2.66964474273466,26.004345157941,7.84599018096924,1.22
NOR,Norway,2018,1.1103912365576,25.9594681444999,7.59564018249512,-0.21
POL,Poland,2000,4.65633252988236,24.6999676719407,4.96281003952026,7.14
POL,Poland,2001,1.23374464400356,20.6408974856903,5.29358005523682,3.54
